iter	Passed	Remaining
288	78630	2642159
289	78816	2638986
290	78941	2633815
291	79207	2633371
292	79499	2633787
293	79680	2630556
294	79982	2631276
295	80240	2630599
296	80491	2629659
297	80655	2625891
298	80939	2626078
299	81232	2626513
300	81495	2626005
301	81794	2626633
302	82004	2624404
303	82179	2621101
304	82397	2619157
305	82651	2618373
306	82791	2613999
307	83127	2615802
308	83427	2616476
309	83668	2615304
310	83979	2616323
311	84241	2615796
312	84511	2615533
313	84779	2615212
314	85060	2615273
315	85371	2616253
316	85656	2616454
317	85927	2616195
318	86191	2615729
319	86318	2611140
320	86608	2611476
321	86866	2610840
322	87121	2610150
323	87523	2613831
324	87782	2613224
325	88106	2614556
326	88375	2614250
327	88640	2613825
328	88826	2611066
329	89054	2609561
330	89327	2609379
331	89452	2604905
332	89766	2605927
333	90075	2606783
334	90375	2607406
335	90683	2608226
336	90944	2607714
337	91225	2607755
338	91504	2607741
339	91758	2607014
340	92066	2607821
341	92356	2608138
342	92531	2605188
343	92699	2602040
344	92878	2599243
345	93003	2594959
346	93128	2590696
347	93375	2589830
348	93677	2590487
349	93969	2590877
350	94235	2590544
351	94522	2590769
352	94831	2591600
353	95123	2591990
354	95397	2591843
355	95690	2592233
356	95874	2589686
357	96136	2589251
358	96416	2589273
359	96710	2589692
360	96980	2589448
361	97239	2588941
362	97524	2589101
363	97650	2585044
364	97912	2584633
365	98204	2584969
366	98390	2582547
367	98515	2578543
368	98641	2574558
369	98924	2574704
370	99242	2575752
371	99378	2572081
372	99667	2572375
373	99980	2573289
374	100241	2572869
375	100507	2572558
376	100785	2572579
377	101065	2572618
378	101282	2571078
379	101558	2571036
380	101833	2570952
381	102088	2570378
382	102357	2570152
383	102643	2570374
384	102827	2568026
385	103143	2568959
386	103425	2569059
387	103712	2569284
388	103968	2568733
389	104268	2569274
390	104574	2569964
391	104706	2566380
392	104943	2565376
393	105191	2564635
394	105492	2565210
395	105771	2565214
396	105922	2562139
397	106228	2562820
398	106503	2562758
399	106784	2562820
400	107065	2562908
401	107293	2561692
402	107594	2562252
403	107868	2562133
404	107991	2558457
405	108278	2558691
406	108639	2560645
407	108907	2560399
408	109133	2559158
409	109416	2559290
410	109543	2555755
411	109830	2555947
412	109954	2552383
413	110180	2551181
414	110462	2551291
415	110589	2547813
416	110857	2547590
417	111137	2547658
418	111397	2547256
419	111612	2545819
420	111824	2544348
421	112093	2544148
422	112363	2543973
423	112487	2540516
424	112736	2539885
425	113015	2539931
426	113257	2539139
427	113406	2536281
428	113532	2532913
429	113850	2533845
430	114041	2531939
431	114329	2532188
432	114551	2530971
433	114705	2528280
434	114982	2528294
435	115107	2524962
436	115384	2524987
437	115507	2521658
438	115771	2521395
439	115953	2519348
440	116103	2516632
441	116400	2517099
442	116669	2516951
443	116864	2515227
444	117052	2513330
445	117242	2511517
446	117517	2511506
447	117792	2511508
448	118035	2510826
449	118223	2508969
450	118500	2509006
451	118627	2505875
452	118859	2504964
453	119170	2505732
454	119544	2507817
455	119898	2509458
456	120166	2509293
457	120437	2509204
458	120744	2509860
459	121019	2509838
460	121321	2510377
461	121576	2509955
462	121825	2509402
463	122121	2509806
464	122395	2509773
465	122679	2509921
466	122939	2509608
467	123214	2509569
468	123483	2509428
469	123753	2509297
470	124020	2509103
471	124189	2506952
472	124394	2505513
473	124701	2506133
474	124987	2506325
475	125260	2506255
476	125449	2504528
477	125841	2506819
478	126206	2508577
479	126532	2509558
480	126807	2509528
481	127153	2510894
482	127380	2509901
483	127658	2509916
484	127931	2509834
485	128314	2511905
486	128630	2512654
487	128777	2510109
488	129029	2509611
489	129298	2509442
490	129575	2509445
491	129836	2509124
492	130080	2508475
493	130207	2505574
494	130495	2505772
495	130758	2505505
496	130883	2502579
497	131007	2499674
498	131230	2498630
499	131383	2496293
500	131705	2497143
501	132012	2497725
502	132294	2497822
503	132595	2498263
504	132927	2499297
505	133242	2500003
506	133524	2500097
507	133814	2500321
508	133970	2498055
509	134165	2496521
510	134438	2496450
511	134562	2493604
512	134716	2491340
513	134841	2488543
514	134997	2486317
515	135307	2486926
516	135462	2484699
517	135803	2485881
518	135938	2483295
519	136207	2483168
520	136420	2482016
521	136643	2481052
522	136976	2482082
523	137258	2482171
524	137535	2482179
525	137716	2480469
526	137987	2480365
527	138300	2481032
528	138424	2478287
529	138695	2478195
530	138818	2475464
531	138988	2473568
532	139297	2474162
533	139448	2471946
534	139620	2470104
535	139889	2469996
536	140090	2468668
537	140476	2470608
538	140770	2470928
539	140892	2468224
540	141047	2466119
541	141332	2466285
542	141616	2466418
543	141772	2464339
544	142028	2464002
545	142152	2461379
546	142307	2459290
547	142592	2459459
548	142840	2458989
549	143149	2459561
550	143272	2456962
551	143445	2455201
552	143599	2453135
553	143816	2452146
554	144085	2452051
555	144341	2451728
556	144527	2450225
557	144852	2451075
558	145131	2451131
559	145454	2451950
560	145827	2453591
561	146120	2453887
562	146358	2453261
563	146527	2451479
564	146857	2452386
565	147015	2450432
566	147302	2450619
567	147457	2448617
568	147753	2448966
569	148006	2448604
570	148128	2446065
571	148286	2444136
572	148554	2444022
573	148678	2441537
574	148845	2439771
575	148968	2437296
576	149091	2434815
577	149256	2433041
578	149379	2430570
579	149505	2428176
580	149807	2428629
581	150141	2429616
582	150372	2428923
583	150586	2427948
584	150708	2425497
585	150942	2424865
586	151222	2424963
587	151503	2425079
588	151705	2423942
589	151830	2421569
590	151956	2419217
591	152116	2417411
592	152242	2415085
593	152521	2415184
594	152677	2413337
595	152936	2413119
596	153172	2412529
597	153453	2412659
598	153736	2412818
599	154015	2412908
600	154241	2412172
601	154538	2412553
602	154688	2410632
603	154812	2408305
604	154934	2405973
605	155216	2406109
606	155338	2403780
607	155464	2401514
608	155606	2399504
609	155871	2399397
610	156198	2400241
611	156321	2397948
612	156604	2398120
613	156729	2395861
614	156940	2394932
615	157062	2392649
616	157357	2393000
617	157621	2392892
618	157745	2390645
619	158022	2390732
620	158145	2388478
621	158272	2386308
622	158405	2384217
623	158530	2382017
624	158820	2382307
625	158947	2380146
626	159229	2380310
627	159353	2378125
628	159479	2375970
629	159603	2373791
630	159728	2371633
631	159853	2369472
632	159979	2367338
633	160104	2365199
634	160256	2363463
635	160419	2361899
636	160545	2359791
637	160666	2357621
638	160790	2355487
639	160915	2353389
640	161037	2351253
641	161159	2349115
642	161282	2346996
643	161406	2344910
644	161532	2342854
645	161660	2340831
646	161785	2338760
647	161916	2336791
648	162039	2334720
649	162165	2332688
650	162286	2330599
651	162412	2328579
652	162535	2326527
653	162658	2324471
654	162784	2322473
655	162907	2320432
656	163032	2318433
657	163154	2316391
658	163277	2314382
659	163400	2312370
660	163525	2310389
661	163651	2308419
662	163773	2306416
663	163909	2304610
664	164033	2302632
665	164157	2300665
666	164282	2298727
667	164405	2296756
668	164542	2294986
669	164671	2293106
670	164796	2291189
671	164919	2289236
672	165044	2287321
673	165165	2285363
674	165288	2283424
675	165412	2281518
676	165536	2279613
677	165664	2277763
678	165788	2275861
679	165913	2273988
680	166037	2272111
681	166161	2270217
682	166284	2268339
683	166406	2266441
684	166530	2264569
685	166656	2262742
686	166782	2260904
687	166906	2259059
688	167031	2257224
689	167156	2255402
690	167280	2253572
691	167406	2251764
692	167531	2249954
693	167661	2248210
694	167785	2246397
695	167910	2244600
696	168035	2242797
697	168158	2240984
698	168280	2239166
699	168402	2237353
700	168526	2235562
701	168647	2233735
702	168772	2231978
703	168905	2230322
704	169030	2228562
705	169156	2226824
706	169278	2225043
707	169404	2223318
708	169528	2221570
709	169656	2219871
710	169781	2218141
711	169929	2216724
712	170053	2214994
713	170179	2213293
714	170316	2211727
715	170447	2210101
716	170570	2208375
717	170693	2206654
718	170821	2204993
719	170944	2203288
720	171069	2201594
721	171191	2199884
722	171314	2198177
723	171441	2196532
724	171564	2194837
725	171691	2193202
726	171815	2191528
727	171937	2189835
728	172059	2188150
729	172184	2186513
730	172309	2184862
731	172435	2183240
732	172559	2181597
733	172684	2179965
734	172808	2178324
735	172932	2176688
736	173056	2175065
737	173179	2173429
738	173303	2171807
739	173424	2170152
740	173549	2168545
741	173675	2166969
742	173799	2165361
743	173925	2163776
744	174050	2162195
745	174174	2160610
746	174298	2159012
747	174421	2157421
748	174546	2155849
749	174670	2154272
750	174791	2152658
751	174915	2151093
752	175040	2149535
753	175162	2147944
754	175287	2146405
755	175412	2144857
756	175537	2143316
757	175663	2141797
758	175789	2140272
759	175911	2138719
760	176034	2137167
761	176156	2135611
762	176308	2134414
763	176430	2132869
764	176555	2131360
765	176683	2129895
766	176808	2128389
767	176930	2126856
768	177055	2125357
769	177181	2123882
770	177305	2122375
771	177431	2120903
772	177555	2119414
773	177688	2118031
774	177813	2116553
775	177937	2115068
776	178065	2113639
777	178191	2112191
778	178314	2110705
779	178438	2109232
780	178564	2107795
781	178687	2106320
782	178810	2104844
783	178935	2103402
784	179059	2101951
785	179184	2100516
786	179303	2099014
787	179437	2097682
788	179560	2096238
789	179686	2094824
790	179809	2093385
791	179935	2091974
792	180056	2090514
793	180178	2089072
794	180300	2087624
795	180424	2086215
796	180547	2084794
797	180669	2083360
798	180791	2081936
799	180914	2080514
800	181040	2079142
801	181187	2078002
802	181327	2076796
803	181450	2075400
804	181579	2074068
805	181703	2072687
806	181833	2071367
807	181958	2070006
808	182084	2068650
809	182208	2067278
810	182338	2065982
811	182512	2065178
812	182635	2063807
813	182759	2062447
814	182885	2061110
815	183007	2059735
816	183132	2058394
817	183254	2057026
818	183379	2055688
819	183503	2054347
820	183629	2053029
821	183755	2051708
822	183880	2050385
823	184002	2049038
824	184125	2047694
825	184251	2046391
826	184375	2045079
827	184499	2043751
828	184625	2042455
829	184748	2041138
830	184877	2039886
831	185002	2038585
832	185126	2037284
833	185249	2035972
834	185375	2034692
835	185499	2033392
836	185624	2032108
837	185748	2030819
838	185869	2029504
839	185991	2028197
840	186113	2026891
841	186239	2025632
842	186363	2024356
843	186486	2023071
844	186615	2021856
845	186741	2020604
846	186869	2019386
847	186994	2018126
848	187124	2016929
849	187247	2015665
850	187372	2014417
851	187496	2013170
852	187623	2011946
853	187745	2010684
854	187872	2009465
855	187995	2008216
856	188127	2007059
857	188250	2005808
858	188374	2004578
859	188499	2003350
860	188623	2002123
861	188746	2000893
862	188872	1999685
863	188996	1998465
864	189120	1997242
865	189244	1996023
866	189369	1994826
867	189494	1993618
868	189622	1992455
869	189745	1991239
870	189870	1990041
871	189992	1988825
872	190118	1987643
873	190243	1986455
874	190371	1985306
875	190493	1984094
876	190620	1982926
877	190743	1981735
878	190869	1980568
879	190993	1979382
880	191115	1978186
881	191242	1977041
882	191369	1975896
883	191492	1974711
884	191618	1973565
885	191742	1972390
886	191868	1971248
887	191991	1970070
888	192122	1968989
889	192247	1967838
890	192375	1966716
891	192500	1965573
892	192624	1964428
893	192749	1963287
894	192874	1962149
895	193000	1961019
896	193125	1959888
897	193248	1958742
898	193373	1957614
899	193501	1956512
900	193624	1955373
901	193748	1954237
902	193875	1953135
903	194006	1952085
904	194133	1950987
905	194258	1949872
906	194383	1948761
907	194509	1947666
908	194633	1946544
909	194756	1945420
910	194884	1944353
911	195059	1943755
912	195185	1942665
913	195312	1941587
914	195437	1940487
915	195561	1939390
916	195697	1938412
917	195822	1937324
918	195969	1936450
919	196092	1935351
